brand_id,buying_category,brand_group,revenue_group
187,Protection,187,CORE SKATE
ABA,Apparel & Footwear,ABA,APPAREL & FOOTWEAR
ABR,Core Skate,ABR,CORE SKATE
ADD,Action Sports,ADD,ACTION SPORTS
ANT,Core Skate,CO Brands,CORE SKATE
ARB,Core Skate,CO Brands,OTHER
BGA,Apparel & Footwear,CO Brands,OTHER
BGV,Action Sports,CO Brands,OTHER
BIR,Core Skate,BIR,CORE SKATE
BLZ,Action Sports,BLZ,ACTION SPORTS
BNB,Core Skate,CO Brands,OTHER
BNS,Core Skate,CO Brands,OTHER
BSC,Core Skate,NHS,CORE SKATE
BUL,Protection,BUL,CORE SKATE
BUU,Core Skate,NHS,CORE SKATE
CHO,Action Sports,CO Brands,OTHER
CLU,Action Sports,CO Brands,OTHER
CRE,Core Skate,NHS,CORE SKATE
CRV,Core Skate,CO Brands,OTHER
DLX,Core Skate,CO Brands,CORE SKATE
DST,Core Skate,SKATE,CORE SKATE
EAG,Action Sports,CO Brands,OTHER
ECO,Action Sports,CO Brands,OTHER
FEI,Apparel & Footwear,FEI,APPAREL & FOOTWEAR
GRI,Core Skate,SKATE,CORE SKATE
HBY,Apparel & Footwear,APPL,APPAREL & FOOTWEAR
HLY,Apparel & Footwear,HLY,ACTION SPORTS
INA,Apparel & Footwear,APPL,APPAREL & FOOTWEAR
IND,Core Skate,IND,CORE SKATE
JES,Core Skate,SKATE,CORE SKATE
KRK,Core Skate,CO Brands,CORE SKATE
KRX,Core Skate,NHS,CORE SKATE
MIN,Core Skate,CO Brands,OTHER
MOB,Core Skate,NHS,CORE SKATE
NMB,Core Skate,SKATE,CORE SKATE
OJW,Core Skate,NHS,CORE SKATE
PAR,Core Skate,SKATE,CORE SKATE
PNY,Core Skate,CO Brands,OTHER
POP,Apparel & Footwear,HLY,ACTION SPORTS
POW,Core Skate,CO Brands,OTHER
PRT,Protection,PRT,CORE SKATE
RBN,Core Skate,CO Brands,OTHER
RCS,Action Sports,RCS,ACTION SPORTS
REA,Core Skate,CO Brands,CORE SKATE
RIC,Core Skate,NHS,CORE SKATE
RKE,Action Sports,RKE,ACTION SPORTS
RKT,Core Skate,SKATE,CORE SKATE
SAC,Action Sports,CO Brands,OTHER
SCA,Apparel & Footwear,SCA,APPAREL & FOOTWEAR
SCR,Core Skate,SCR,CORE SKATE
SDR,Action Sports,CO Brands,OTHER
SEQ,Action Sports,CO Brands,OTHER
SHI,Core Skate,OTHER,OTHER
SIM,Action Sports,SKATE,CORE SKATE
SKE,Core Skate,APPL,APPAREL & FOOTWEAR
SKL,Action Sports,CO Brands,OTHER
SKM,Action Sports,HLY,ACTION SPORTS
SLM,Core Skate,NHS,CORE SKATE
SPI,Core Skate,CO Brands,CORE SKATE
STR,Apparel & Footwear,APPL,APPAREL & FOOTWEAR
SUR,Action Sports,CO Brands,OTHER
SUS,Core Skate,SKATE,CORE SKATE
SWS,Apparel & Footwear,HLY,ACTION SPORTS
THE,Core Skate,CO Brands,CORE SKATE
THN,Core Skate,CO Brands,CORE SKATE
THR,Core Skate,THR,CORE SKATE
THY,Apparel & Footwear,APPL,APPAREL & FOOTWEAR
TSS,Action Sports,TSS,CORE SKATE
UNI,Core Skate,CO Brands,CORE SKATE
VEN,Core Skate,CO Brands,CORE SKATE
TRI,Protection,TRI,ACTION SPORTS
8BL,Protection,8BL,ACTION SPORTS
ADA,Apparel & Footwear,ADD,ACTION SPORTS
THP,Apparel & Footwear,APPL,APPAREL & FOOTWEAR
ACS,Action Sports,CO Brands,ACTION SPORTS
ATL,Action Sports,CO Brands,ACTION SPORTS
AWS,Core Skate,CO Brands,CORE SKATE
BEL,Miscellaneous,CO Brands,MISC
CHI,Miscellaneous,CO Brands,MISC
CLT,Action Sports,CO Brands,ACTION SPORTS
CRS,Miscellaneous,CO Brands,MISC
D2CEU,Miscellaneous,CO Brands,MISC
D2CUK,Miscellaneous,CO Brands,MISC
DIN,Apparel & Footwear,CO Brands,APPAREL & FOOTWEAR
ELM,Core Skate,ELM,CORE SKATE
EUL,Miscellaneous,CO Brands,MISC
FLI,Core Skate,CO Brands,CORE SKATE
GRZ,Core Skate,GRZ,CORE SKATE
HAB,Core Skate,CO Brands,CORE SKATE
HSBC,Miscellaneous,CO Brands,MISC
HWG,Action Sports,CO Brands,ACTION SPORTS
HYP,Action Sports,CO Brands,ACTION SPORTS
INR,Apparel & Footwear,CO Brands,APPAREL & FOOTWEAR
KRY,Action Sports,CO Brands,ACTION SPORTS
LSH,Action Sports,CO Brands,ACTION SPORTS
NJO,Action Sports,CO Brands,ACTION SPORTS
PLY,Action Sports,CO Brands,ACTION SPORTS
QUB,Action Sports,CO Brands,ACTION SPORTS
RRW,Action Sports,CO Brands,ACTION SPORTS
SAB,Action Sports,CO Brands,ACTION SPORTS
SIG,Miscellaneous,CO Brands,MISC
SME,Core Skate,CO Brands,CORE SKATE
SMT,Action Sports,CO Brands,ACTION SPORTS
STA,Apparel & Footwear,CO Brands,APPAREL & FOOTWEAR
STS,Action Sports,CO Brands,ACTION SPORTS
SUP,Action Sports,CO Brands,ACTION SPORTS
SVN,Core Skate,CO Brands,CORE SKATE
THD,Core Skate,CO Brands,CORE SKATE
THS,Core Skate,CO Brands,CORE SKATE
TIR,Core Skate,CO Brands,CORE SKATE
ZFX,Core Skate,CO Brands,CORE SKATE
